epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,59362.2,0.52446,0.552,0.25001,0.77548,0.72827,0.78205,0.44154,0.29669,0.36373,0.19452,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,60435,0.53817,0.54701,0.25636,0.77446,0.73717,0.78626,0.44449,0.29449,0.35957,0.19471,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,61503.8,0.54865,0.54645,0.25867,0.78384,0.72881,0.7854,0.44571,0.29313,0.35854,0.19412,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,62580.5,0.53041,0.54257,0.25341,0.7889,0.7265,0.78758,0.44652,0.29342,0.35508,0.19398,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,63653.1,0.5087,0.53983,0.24627,0.78627,0.72989,0.78518,0.44479,0.2954,0.35551,0.19599,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,64715.3,0.53601,0.54308,0.25257,0.79291,0.72342,0.78711,0.44589,0.29459,0.3546,0.19614,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,65777.4,0.50685,0.54169,0.24474,0.79324,0.72691,0.78859,0.44657,0.29413,0.35355,0.19648,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,66843.8,0.52628,0.55066,0.25087,0.78756,0.72969,0.7891,0.4477,0.29465,0.35252,0.19873,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,67905.3,0.5312,0.53962,0.25479,0.78936,0.73044,0.78765,0.44629,0.29489,0.3535,0.1971,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,68968.1,0.50326,0.53269,0.24206,0.78567,0.73256,0.78724,0.4456,0.29549,0.35423,0.19705,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,70034.9,0.50549,0.53422,0.24172,0.78438,0.73553,0.7885,0.44637,0.2952,0.35304,0.19653,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,71099.4,0.51627,0.54796,0.2519,0.78441,0.738,0.78827,0.44628,0.29553,0.35268,0.19732,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,72157.9,0.5081,0.53208,0.25095,0.7845,0.74009,0.78782,0.44626,0.2956,0.35347,0.1975,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,73218.1,0.52664,0.53463,0.24608,0.7804,0.73999,0.78693,0.44721,0.2953,0.35331,0.198,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,74272.9,0.52616,0.54295,0.24794,0.77989,0.74223,0.78726,0.44665,0.29616,0.35388,0.19908,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,75326,0.51985,0.538,0.247,0.77603,0.7438,0.7865,0.44763,0.29521,0.35425,0.19966,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,76390.3,0.52247,0.5309,0.2556,0.77432,0.74414,0.7848,0.44686,0.29611,0.3545,0.20105,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
